e
( 0  0  0):  0.53059272P 0.53341405P 0.53636517P 0.53945151P 0.54268010P
( 0  0  5):  0.54605854P 0.54959374P 0.55329310P 0.55715825P 0.56119815P
( 0  0 10):  0.56543008P 0.56986437P 0.57450432P 0.57935437P 0.58438906P
( 0  0 15):  0.58966951P 0.59525595P 0.60111006P 0.60719408P 0.61348935P
( 0  0 20):  0.61987766P 0.62693863H 0.63462867H 0.64231877H 0.64999349H
( 0  0 25):  0.65764928H 0.66526845H 0.67283868H 0.68034710H 0.68779987H
( 0  0 30):  0.69516002H 0.70249236H 0.70973994H 0.71696136H 0.72418885H
( 0  0 35):  0.73145899H 0.73879544H 0.74604598H 0.75322153H 0.76036870H
( 0  0 40):  0.76743840H 0.77441647H 0.78138423H 0.78828819H 0.79510640H
( 0  0 45):  0.80186285H 0.80852593H 0.81511288H 0.82144821H 0.82760015H
( 0  0 50):  0.83348866H 0.83918421H 0.84477077H 0.85036584H 0.85604525H
( 0  0 55):  0.86187809H 0.86771173H 0.87361576H 0.87941205H 0.88492577H
( 0  0 60):  0.89023296H 0.89536908H 0.90054870H 0.90555063H 0.91035542H
( 0  0 65):  0.91479506H 0.91887831H 0.92272680H 0.92635486H 0.92981830H
( 0  0 70):  0.93314716H 0.93634174H 0.93954680H 0.94296331H 0.94656480H
( 0  0 75):  0.95047531H 0.95426135H 0.95764808H 0.96004493H 0.96358311H
( 0  0 80):  0.96690204H 0.96996333H 0.97282847H 0.97551485H 0.97760183H
( 0  0 85):  0.97857098H 0.97950442H 0.98033940H 0.98120445H 0.98205026H
( 0  0 90):  0.98285018H 0.98358130H 0.98428043H 0.98476475H 0.98566445H
( 0  0 95):  0.98636706H 0.98692767H 0.98737275H 0.98778852H 0.98778852H

( 0  1  0):  0.53795587P 0.54078518P 0.54374448P 0.54683940P 0.55007708P
( 0  1  5):  0.55346515P 0.55701036P 0.56072033P 0.56459521P 0.56864659P
( 0  1 10):  0.57289123P 0.57733875P 0.58199162P 0.58685502P 0.59189586P
( 0  1 15):  0.59719954P 0.60280655P 0.60867675P 0.61477226P 0.62107624P
( 0  1 20):  0.62744457P 0.63462867H 0.64231877H 0.64999349H 0.65764928H
( 0  1 25):  0.66526845H 0.67283868H 0.68034710H 0.68779987H 0.69516002H
( 0  1 30):  0.70249236H 0.70973994H 0.71696136H 0.72418885H 0.73145899H
( 0  1 35):  0.73879544H 0.74604598H 0.75322153H 0.76036870H 0.76743840H
( 0  1 40):  0.77441647H 0.78138423H 0.78828819H 0.79510640H 0.80186285H
( 0  1 45):  0.80852593H 0.81511288H 0.82144821H 0.82760015H 0.83348866H
( 0  1 50):  0.83918421H 0.84477077H 0.85036584H 0.85604525H 0.86187809H
( 0  1 55):  0.86771173H 0.87361576H 0.87941205H 0.88492577H 0.89023296H
( 0  1 60):  0.89536908H 0.90054870H 0.90555063H 0.91035542H 0.91479506H
( 0  1 65):  0.91887831H 0.92272680H 0.92635486H 0.92981830H 0.93314716H
( 0  1 70):  0.93634174H 0.93954680H 0.94296331H 0.94656480H 0.95047531H
( 0  1 75):  0.95426135H 0.95764808H 0.96004493H 0.96358311H 0.96690204H
( 0  1 80):  0.96996333H 0.97282847H 0.97551485H 0.97760183H 0.97857098H
( 0  1 85):  0.97950442H 0.98033940H 0.98120445H 0.98205026H 0.98285018H
( 0  1 90):  0.98358130H 0.98428043H 0.98476475H 0.98566445H 0.98636706H
( 0  1 95):  0.98692767H 0.98737275H 0.98778852H 0.98778852H 1.00000000H

( 0  2  0):  0.54533708P 0.54817340P 0.55113981P 0.55424221P 0.55748785P
( 0  2  5):  0.56088439P 0.56443839P 0.56815772P 0.57204069P 0.57610225P
( 0  2 10):  0.58035823P 0.58481763P 0.58948173P 0.59435668P 0.59940005P
( 0  2 15):  0.60472759P 0.61035348P 0.61623815P 0.62234127P 0.62864975P
( 0  2 20):  0.63498780P 0.64231877H 0.64999349H 0.65764928H 0.66526845H
( 0  2 25):  0.67283868H 0.68034710H 0.68779987H 0.69516002H 0.70249236H
( 0  2 30):  0.70973994H 0.71696136H 0.72418885H 0.73145899H 0.73879544H
( 0  2 35):  0.74604598H 0.75322153H 0.76036870H 0.76743840H 0.77441647H
( 0  2 40):  0.78138423H 0.78828819H 0.79510640H 0.80186285H 0.80852593H
( 0  2 45):  0.81511288H 0.82144821H 0.82760015H 0.83348866H 0.83918421H
( 0  2 50):  0.84477077H 0.85036584H 0.85604525H 0.86187809H 0.86771173H
( 0  2 55):  0.87361576H 0.87941205H 0.88492577H 0.89023296H 0.89536908H
( 0  2 60):  0.90054870H 0.90555063H 0.91035542H 0.91479506H 0.91887831H
( 0  2 65):  0.92272680H 0.92635486H 0.92981830H 0.93314716H 0.93634174H
( 0  2 70):  0.93954680H 0.94296331H 0.94656480H 0.95047531H 0.95426135H
( 0  2 75):  0.95764808H 0.96004493H 0.96358311H 0.96690204H 0.96996333H
( 0  2 80):  0.97282847H 0.97551485H 0.97760183H 0.97857098H 0.97950442H
( 0  2 85):  0.98033940H 0.98120445H 0.98205026H 0.98285018H 0.98358130H
( 0  2 90):  0.98428043H 0.98476475H 0.98566445H 0.98636706H 0.98692767H
( 0  2 95):  0.98737275H 0.98778852H 0.98778852H 1.00000000H 1.00000000H

( 0  3  0):  0.55273210P 0.55557427P 0.55854655P 0.56165513P 0.56490740P
( 0  3  5):  0.56831105P 0.57187239P 0.57559956P 0.57948881P 0.58355888P
( 0  3 10):  0.58782468P 0.59229429P 0.59696761P 0.60185180P 0.60689438P
( 0  3 15):  0.61224511P 0.61788912P 0.62378523P 0.62989176P 0.63619951P
( 0  3 20):  0.64250058P 0.64999349H 0.65764928H 0.66526845H 0.67283868H
( 0  3 25):  0.68034710H 0.68779987H 0.69516002H 0.70249236H 0.70973994H
( 0  3 30):  0.71696136H 0.72418885H 0.73145899H 0.73879544H 0.74604598H
( 0  3 35):  0.75322153H 0.76036870H 0.76743840H 0.77441647H 0.78138423H
( 0  3 40):  0.78828819H 0.79510640H 0.80186285H 0.80852593H 0.81511288H
( 0  3 45):  0.82144821H 0.82760015H 0.83348866H 0.83918421H 0.84477077H
( 0  3 50):  0.85036584H 0.85604525H 0.86187809H 0.86771173H 0.87361576H
( 0  3 55):  0.87941205H 0.88492577H 0.89023296H 0.89536908H 0.90054870H
( 0  3 60):  0.90555063H 0.91035542H 0.91479506H 0.91887831H 0.92272680H
( 0  3 65):  0.92635486H 0.92981830H 0.93314716H 0.93634174H 0.93954680H
( 0  3 70):  0.94296331H 0.94656480H 0.95047531H 0.95426135H 0.95764808H
( 0  3 75):  0.96004493H 0.96358311H 0.96690204H 0.96996333H 0.97282847H
( 0  3 80):  0.97551485H 0.97760183H 0.97857098H 0.97950442H 0.98033940H
( 0  3 85):  0.98120445H 0.98205026H 0.98285018H 0.98358130H 0.98428043H
( 0  3 90):  0.98476475H 0.98566445H 0.98636706H 0.98692767H 0.98737275H
( 0  3 95):  0.98778852H 0.98778852H 1.00000000H 1.00000000H 1.00000000H

( 0  4  0):  0.56013665P 0.56298348P 0.56596038P 0.56907387P 0.57233147P
( 0  4  5):  0.57574085P 0.57930807P 0.58304137P 0.58693527P 0.59101240P
( 0  4 10):  0.59528644P 0.59976436P 0.60444469P 0.60933508P 0.61437579P
( 0  4 15):  0.61974923P 0.62540861P 0.63131221P 0.63741704P 0.64371811P
( 0  4 20):  0.64999349H 0.65764928H 0.66526845H 0.67283868H 0.68034710H
( 0  4 25):  0.68779987H 0.69516002H 0.70249236H 0.70973994H 0.71696136H
( 0  4 30):  0.72418885H 0.73145899H 0.73879544H 0.74604598H 0.75322153H
( 0  4 35):  0.76036870H 0.76743840H 0.77441647H 0.78138423H 0.78828819H
( 0  4 40):  0.79510640H 0.80186285H 0.80852593H 0.81511288H 0.82144821H
( 0  4 45):  0.82760015H 0.83348866H 0.83918421H 0.84477077H 0.85036584H
( 0  4 50):  0.85604525H 0.86187809H 0.86771173H 0.87361576H 0.87941205H
( 0  4 55):  0.88492577H 0.89023296H 0.89536908H 0.90054870H 0.90555063H
( 0  4 60):  0.91035542H 0.91479506H 0.91887831H 0.92272680H 0.92635486H
( 0  4 65):  0.92981830H 0.93314716H 0.93634174H 0.93954680H 0.94296331H
( 0  4 70):  0.94656480H 0.95047531H 0.95426135H 0.95764808H 0.96004493H
( 0  4 75):  0.96358311H 0.96690204H 0.96996333H 0.97282847H 0.97551485H
( 0  4 80):  0.97760183H 0.97857098H 0.97950442H 0.98033940H 0.98120445H
( 0  4 85):  0.98205026H 0.98285018H 0.98358130H 0.98428043H 0.98476475H
( 0  4 90):  0.98566445H 0.98636706H 0.98692767H 0.98737275H 0.98778852H
( 0  4 95):  0.98778852H 1.00000000H 1.00000000H 1.00000000H 1.00000000H

( 0  5  0):  0.56757888P 0.57042924P 0.57340989P 0.57652748P 0.57978956P
( 0  5  5):  0.58320349P 0.58677568P 0.59051202P 0.59441137P 0.59849514P
( 0  5 10):  0.60277598P 0.60725922P 0.61194516P 0.61682944P 0.62189122P
( 0  5 15):  0.62727859P 0.63294427P 0.63884460P 0.64494510P 0.65119689P
( 0  5 20):  0.65764928H 0.66526845H 0.67283868H 0.68034710H 0.68779987H
( 0  5 25):  0.69516002H 0.70249236H 0.70973994H 0.71696136H 0.72418885H
( 0  5 30):  0.73145899H 0.73879544H 0.74604598H 0.75322153H 0.76036870H
( 0  5 35):  0.76743840H 0.77441647H 0.78138423H 0.78828819H 0.79510640H
( 0  5 40):  0.80186285H 0.80852593H 0.81511288H 0.82144821H 0.82760015H
( 0  5 45):  0.83348866H 0.83918421H 0.84477077H 0.85036584H 0.85604525H
( 0  5 50):  0.86187809H 0.86771173H 0.87361576H 0.87941205H 0.88492577H
( 0  5 55):  0.89023296H 0.89536908H 0.90054870H 0.90555063H 0.91035542H
( 0  5 60):  0.91479506H 0.91887831H 0.92272680H 0.92635486H 0.92981830H
( 0  5 65):  0.93314716H 0.93634174H 0.93954680H 0.94296331H 0.94656480H
( 0  5 70):  0.95047531H 0.95426135H 0.95764808H 0.96004493H 0.96358311H
( 0  5 75):  0.96690204H 0.96996333H 0.97282847H 0.97551485H 0.97760183H
( 0  5 80):  0.97857098H 0.97950442H 0.98033940H 0.98120445H 0.98205026H
( 0  5 85):  0.98285018H 0.98358130H 0.98428043H 0.98476475H 0.98566445H
( 0  5 90):  0.98636706H 0.98692767H 0.98737275H 0.98778852H 0.98778852H
( 0  5 95):  1.00000000H 1.00000000H 1.00000000H 1.00000000H 1.00000000H

( 0  6  0):  0.57502487P 0.57787718P 0.58085995P 0.58397997P 0.58724476P
( 0  6  5):  0.59066140P 0.59423655P 0.59797381P 0.60187658P 0.60596491P
( 0  6 10):  0.61025010P 0.61473639P 0.61942472P 0.62430014P 0.62938154P
( 0  6 15):  0.63478007P 0.64044751P 0.64634247P 0.65243012P 0.65863410P
( 0  6 20):  0.66526845H 0.67283868H 0.68034710H 0.68779987H 0.69516002H
( 0  6 25):  0.70249236H 0.70973994H 0.71696136H 0.72418885H 0.73145899H
( 0  6 30):  0.73879544H 0.74604598H 0.75322153H 0.76036870H 0.76743840H
( 0  6 35):  0.77441647H 0.78138423H 0.78828819H 0.79510640H 0.80186285H
( 0  6 40):  0.80852593H 0.81511288H 0.82144821H 0.82760015H 0.83348866H
( 0  6 45):  0.83918421H 0.84477077H 0.85036584H 0.85604525H 0.86187809H
